revised 3 February 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sort code,NSC,Generic Name,Brand Name(s),Target/MOA,"MW (free base/acid, no hydrate)",Dose,Dose Unit,Route,infusion,dose schedule,Cmax (uM),Cmax (mol/liter),Cmax (g/l),Cmax (raw units),Tmax,T1/2,AUC,Cl,Vd,Protein binding,"Css, ave",Initial U.S. approval,Reference,Indication,Notes,,,,,,,,,,unit list,route list
1,748121,Abiraterone Acetate  ,Zytiga ,androgen synthesis inhibitor (CYP17),392,1000,mg,PO,,qd,LLOQ,,,< 0.2 ng/ml,,,,,,-,,2011,Drug Product Label,"prostate cancer:  metastatic castration-resistant prostate cancer, in combination with prednisone",pro-drug for Abiraterone.  Approved 2011; indicated for use in combination with prednisone.,,,,,,,,,,mg/kg,IV
2,749226,*Abiraterone,(Zytiga),androgen synthesis inhibitor (CYP17),350,as above,,,,,0.647,6.47E-07,0.000226,226 ng/ml,,12 h,1173 ng•hr/ml,,19669 L,>99%,,2011,Drug Product Label,"prostate cancer:  metastatic castration-resistant prostate cancer, in combination with prednisone",metabolite of Abiraterone Acetate  ,,,,,,,,,,units/m2,I Cisternal
3,750691,Afatinib,Gilotrif,"kinase inhibitor (Tyrosine): EGFR, HER2, HER4",486,40,mg,PO,,qd,0.0519,5.19E-08,0.0000252,25.2 ng/ml,3.98 h,26.9 h,324 ng•hr/ml,952 ml/min,2220 L,95%,,2013,Clin Pharmacokinet published online June 28 2013  DOI 10.1007/s40262-013-0091-4,NSCLC:  non-small cell lung cancer (metastatic) with EGFR exon 19 deletions or exon 21 (L858R) substitution mutations,"irreversible inhibitor.  FDA approved afatinib (Gilotrif tablets, Boehringer Ingelheim Pharmaceuticals, Inc.), for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test.  The safety and efficacy of afatinib have not been established in patients whose tumors have other EGFR mutations.  Concurrent with this action, FDA approved the therascreen EGFR RGQ PCR Kit (QIAGEN) for detection of EGFR exon 19 deletions or exon 21 (L858R) substitution mutations.  July 12, 2013 More Information: http://www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm360574.htm",,,,,,,,,,mg/day,IM
4,,Alfuzosin HCl ,UroXatral,alpha1 antagonist,389,10,mg,PO,,qd,0.035,3.49E-08,0.0000136,13.6 ng/ml,8,10 h,194 ng•hr/ml,,3.2 L/kg,82-90%,,2003,Drug Product Label,Prostate: benign prostatic hyperplasia (not approved for cancer indications),not approved for cancer indications: indicated for the treatment of signs and symptoms of benign prostatic hyperplasia,,,,,,,,,,mg/m2,topical
5,1390,Allopurinol,"Zyloric, Lopurin, Zyloprim",Nucleoside/Antimetab: Xanthine Oxidase Inhibitor,136,300,mg,PO,,qd,14.253,1.43E-05,0.00194,1936 ng/ml,1.4 h,1.4 h,4814 ng•hr/ml,,,negligible,,1966,"J Clin Pharm Ther 2001, 26(2): 113","Leukemia, lymphoma and malignancies: management of patients who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels.","xanthine oxidase inhibitor indicated for management of patients with leukemia, lymphoma and malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels.  Active metabolite oxipurinol (alloxanthine),  also is an inhibitor of xanthine oxidase, with Cmax of 6.5 ug/ml and T1/2 of 15 hours.",,,,,,,,,,mg,PO
6,13875,Altretamine,Hexalen,Alkylating/DNA damage,210,200,mg,PO,,,3.7569,3.76E-06,0.00079,790 ng/ml,0.5-3 h,4.7- 10.2 h,,,,94%,,1990,Pharm Weekbl Sci 1989; 11:218-223,Ovarian cancer: following first-line therapy with a cisplatin and/or alkylating agent-based combination.,Cmax varies widely with formulation; Hexalen @ 200 mg po gave 277 ng/ml,,,,,,,,,,,
7,296961,Amifostine,Ethyol,ROS Scavenger,214,200,mg/m2,IV,7.5 min,,104.900,1.05E-04,0.022471678,104.9 umol/L,,15.4 min,1187 umol•min/L,1.48 L/min,,negligible,,1995,"J Clin Pharmacol 2002, 42(2): 166",Ovarian cancer: reduce the cumulative renal toxicity associated with repeated administration of cisplatin in patients with advanced ovarian cancer.,Indicated to reduce the cumulative renal toxicity associated with repeated administration of cisplatin in patients with advanced ovarian cancer.  Less than 10% of parent remains in the plasma 6 minutes after drug administration. Parent is rapidly metabolized by alkaline phosphatase to an active free thiol metabolite (WR-1065).,,,,,,,,,,,
8,330915,Aminoglutethimide,"Cytadren, Orimeten",Aromatase Inhibitor,232,500,mg,PO,,,25.400,2.54E-05,0.0059,5.9 ug/ml,1.5 h,12.5 h,,,,21-25%,,1980,Drug Product Label,Cushing's syndrome,,,,,,,,,,,,
9,18509,Aminolevulinic Acid  ,Levulan,photosensitizer,131,100,mg,IV,,,128.880,1.29E-04,0.0169,16.9 ug/ml,,50 min,13.7 ug•hr/ml,7.8 L/h,9.3 L,,,1999,"J Pharmacol Exp Ther 2002, 301(2): 507",Actinic Keratosis of the face or scalp (Topical),"preferred route is intravesiclular for bladder cancer: dose  of 1.33 grams  gave 5.35 mg/ml urine, diluted by urine from target concentration of 24 mg/ml.  Oral admin: 100 mg p.o. gave Cmax of 4.6 ug/ml.",,,,,,,,,,,
10,719344,Anastrozole  ,Arimidex ,Aromatase Inhibitor,293,1,mg,PO,,qd,0.035,3.48E-08,0.0000102,10.2 ng/ml,,41.3 h,536 ng•hr/ml,,,40%,,1995,"J Pharm Biomed Anal 2008, 48(3): 853",Breast Cancer:   locally advanced or metastatic;   hormone receptor-positive early breast cancer.,"Anastrozole mean steady-state minimum plasma concentrations in Caucasian and Japanese postmenopausal women who received 1 mg of anastrozole daily for 16 days were 25.7 and 30.4 ng/mL, respectively.",,,,,,,,,,,
11,92859,Arsenic Trioxide  ,Trisenox ,not defined; Apoptosis Inducer,198,0.1,mg/kg,IV,2 h,,0.910,9.10E-07,0.00018,0.18 ug/ml,,,,,562 L,75%,,2000," Blood 2001, 98(2): 266-271;  also see Blood 1996, 88(3): 1052; and Drug Product Label","Leukemia: acute promyelocytic leukemia (APL) refractory to  retinoid and anthracycline chemotherapy, and whose APL is characterized by the presence of the t(15;17) translocation or PML/RAR-alpha gene expression.","Immediately hydrolyzed to arsenious acid (AsIII)., the pharmacologically active species of arsenic trioxide.  Following once daily doses of 0.15 mg/k, the daily exposure to AsIII (mean AUC0-24) was 194 ng·hr/mL (n=5) on Day 1 of Cycle 1 and 332 ng·hr/mL (n=6) on Day 25 of Cycle 1, which represents an approximate 2-fold accumulation.",,,,,,,,,,,
12,757441,Axitinib,Inlyta,"kinase inhibitor (Tyrosine): VEGFR, PDGFR",386,5,mg,PO,,BID,0.163,1.63E-07,0.000063,63 ng/ml,1.8 h,3.1 h,466 ng•hr/ml,43 L/h,182 L,>99%,,2012,"J Clin Oncol 2005, 23(24): 5474",renal cell carcinoma (RCC) after failure of one prior systemic therapy,approved 1/27/12;  data reported following 29 days of dosing,,,,,,,,,,,
13,102816,Azacitidine  ,"Vidaza,  Mylosar",Nucleoside/Antimetab: demethylating agent; DNA Methyltransferase (DNMT) Inhibitor,244,75,mg/m2,SC, ,qd X 7,3.071,3.07E-06,0.00075,750 ng/ml,0.5 h,41 min,,167 L/h,76 L,,0.000038495,2004,"Drug Product Label;  J Clin Pharmacol 2005, 45(5): 597","Myelodysplastic Syndromes (MDS):  French-American-British (FAB) myelodysplastic syndrome subtypes: refractory anemia (RA) or refractory anemia with ringed sideroblasts (if accompanied by neutropenia or thrombocytopenia or requiring transfusions), refractory anemia with excess blasts (RAEB), refractory anemia with excess blasts in transformation (RAEB-T), and chronic myelomonocytic leukemia (CMMoL).",IV Cmax was 2750 ng/ml;  AUC similar to SC; F= 89%,,,,,,,,,,,
14,,Belinostat,Beleodaq,HDAC inhibitor,318,1000,mg/m2,IV,30 min,qd X 5 X 3 wk,134.0,1.34E-04,0.042657,42657 ng/ml,,1.0 h,29005 ng•hr/ml,37.6 L/h/m2,16.5 L/m2,94%,,2014,FDA NDA 206256: Clinical Pharmacology and Biopharmaceutics Review,Lymphoma: peripheral T-cell lymphoma (PTCL): relapsed or refractory,approved 7/3/2014,,,,,,,,,,,
15,138783,Bendamustine HCl  ,Treanda ,Alkylating/DNA damage,358,120,mg/m2,IV, 60 min,,16.301,1.63E-05,0.00584,5839 ng/ml,,0.7 h,13635 ng•hr/ml,31.7 L/h,40 L,94-96%,,2008,"Cancer Chemother Pharmacol 2010, 66(6): 1039",Leukemia: Chronic Lymphocytic Leukemia (CLL);  Non-Hodgkin Lymphoma (NHL),,,,,,,,,,,,
16,741061,Bexarotene  ,Targretin ,RXR agonist,348,300,mg/m2,PO,,,3.386,3.39E-06,0.00118,1182 ng/ml,2.5 h,3.4 h,5980 ng•hr/ml,,,>99%,,1999,"J Clin Oncol 2001, 19(9): 2456",Lymphoma: cutaneous T-cell lymphoma,,,,,,,,,,,,
17,722665,Bicalutamide,Casodex,Androgen Receptor Agonist,430,50,mg,PO,,qd,1.780,1.78E-06,0.000768,0.768 ug/ml,31.3 h,139 h,230838 ug•hr/L,0.32 L/h,,96%,,1995,"Drug Product Label; AUC from Clin Ther. 2009, 31:3000–3008","prostate cancer: metastatic carcinoma of the prostate, in combination with a luteinizing hormone-releasing hormone (LHRH) analog for the treatment of Stage D2.",combo with LHRH antagonist,,,,,,,,,,,
18,125066,Bleomycin,Blenoxane,DNA synthesis inhibitor,1416,15,mg/m2,IV,bolus,,706,7.06E-04,1,1 mg/mL,,4 h,299.5 mg•min/ml,50.5 ml/min/m2,17.5 L/m2,1%,,1973,"Cancer Chemother. Pharmacol. 1, 177-181 (1978)","Squamous Cell Carcinoma (Head and neck);  Lymphomas (Hodgkin's Disease, non-Hodgkin's lymphoma);   Testicular Carcinoma; Malignant Pleural Effusion","value from graphic, estimated to C0; 1 unit = 1 mg ",,,,,,,,,,,
19,756655,Bortezomib  ,Velcade ,Proteosome inhibitor,384,1.3,mg/m2,IV,bolus,2x/wk x 2 wk,0.312,3.12E-07,0.00012,120 ng/ml,0.08 h,48.7 h,196 ng•hr/ml,25.9 L/h,1465 L,83%,5.29166666666667E-006,2003,"Clin Pharmacokin 2009, 48(3): 199",Multiple Myeloma; Mantle Cell Lymphoma,Data are for Day 8,,,,,,,,,,,
20,765694,Bosutinib,Bosulif,"kinase inhibitor (Tyrosine): BCR-Abl, Src",530,500,mg,PO,,qd,0.377,3.77E-07,0.0002,200 ng/ml,4-6 h,22.5 h,3650 ng•hr/ml,189 L/h,6080 L,96%,,2012,Drug Product Label,"Leukemia: chronic myelogenous leukemia:   chronic, accelerated, or blast phase Philadelphia chromosome-positive (Ph+) CML with resistance or intolerance to prior therapy.",,,,,,,,,,,,
21,750,Busulfan,Busulflex,Alkylating/DNA damage,246,0.8,mg/kg,IV,2 h,q. 6 h,4.962,4.96E-06,0.001222,1222 ng/ml,,,1167 umol•min/L,2.52 ml/min/kg,0.64 L/kg,32%,8.10416666666667E-007,1954,Drug Product Label,Leukemia: chronic myelogenous leukemia:  for use in combination with cyclophosphamide as a conditioning regimen prior to allogeneic hematopoietic progenitor cell transplantation., *protein binding is irreversible,,,,,,,,,,,
22,761432,Cabazitaxel  ,Jevtana ,Tubulin: microtubule stabilizing,836,25,mg/m2,IV,1 h,q. 3 wk,0.270,2.70E-07,0.000226,226 ng/ml,1 h,95 h,991 ng•hr/ml,48.5 L/h,4864 L,89-92%,,2010,Drug Product Label,prostate cancer:  in combination with prednisone for the treatment of hormone-refractory metastatic prostate cancer previously treated with a docetaxel-containing treatment regimen.,,,,,,,,,,,,
23,761068,Cabozantinib,Cometriq,"kinase inhibitor (Tyrosine): c-MET, VEGFR2, RET",502,140,mg,PO,,qd,4.606,4.61E-06,0.00231,2310 ng/ml,2-5 h,55 h,41.6 ug•hr/ml,4.4 L/h,349 L,99.70%,,2012,J Clin Oncol. 2011 Jul 1;29(19):2660-6; Drug Product Label,"medullary thyroid cancer (progressive, metastatic)","XL-184; approved 11.30.12 Data are for MTD (175 mg); Recommended dose is 140 mg.  Accumulation of 4-5X (AUC) on repeated dosing.  MTD=175 mg; data given for multiple dosing (day 19);  single dose(175 mg PO) Cmax=544 ng/ml, AUC=7.7 ug.h/ml",,,,,,,,,,,
24,712807,Capecitabine  ,Xeloda ,Nucleoside/Antimetab: Pyrimidine antagonist,359,1250,mg/m2,PO,,BID,21.066,2.11E-05,0.00757,7.57 ug/ml,49 min,26 min,507 ug•min/ml,5.55 L/min,217 L,approx 35%,,1998,"Cancer Chemother Pharmacol 2011, 67(3): 613","Colorectal Cancer,  Breast Cancer",5-FU prodrug.  Total protein binding of parent and metabolites is less than 60%; parent binding to albumin is approx. 35%,,,,,,,,,,,
25,241240,Carboplatin  ,"Paraplatin,  Paraplat",Alkylating/DNA damage,371,400,mg/m2,IV,30 min,,134.771,1.35E-04,0.05,50 ug/ml,30 min,3.0 h,4-6 mg•min/ml**,4.4 L/h,16 L,0%,,1989,"Cancer Chemother Pharmacol 1988, 22(3): 263",Ovarian cancer: Ovarian Carcinoma,"** AUC given is target AUC for carboplatin as single agent;  parent is not bound to plasma protein, but released platinum binds irreversibly",,,,,,,,,,,
26,758252,Carfilzomib,Kyprolis,Proteosome inhibitor  ,720,27,mg/m2,IV,5 min,,5.880,5.88E-06,0.004232,4232 ng/ml,,< 1 h,379 ng•hr/ml,151-263 L/h,28 L,97%,,2012,Drug Product Label,Multiple Myeloma,"ONO-7057, PR-171; approved in USA 07.21.12",,,,,,,,,,,
27,409962,Carmustine  ,BiCNU,Alkylating/DNA damage,214,600,mg/m2,IV,2 h,,19.388,1.94E-05,0.00415,4.15 ug/mL,,,,,,80%,,1977,Hi dose: Clin Cancer Res. 2002 Mar;8(3):698-705.,"Brain tumors (glioblastoma, brainstem glioma, medulloblastoma, astrocytoma, ependymoma, and metastatic brain tumors); Multiple myeloma, in combination with prednisone;  Hodgkin’s disease (as secondary therapy in combination with other approved drugs);  Non-Hodgkin’s lymphomas (as secondary therapy in combination with other approved drugs)",600 mg/m2: 4.15 mg/L graphically. Recommended dose is 150-200 mg/m2 IV,,,,,,,,,,,
28,719627,Celecoxib,Celebrex,COX-2 inhibitor,381,400,mg,PO,,BID,4.598,4.60E-06,0.001752,1752 ng/ml,,8.8 h,13049 ng•hr/ml,25.1 L/h,,97%,0.0005437083,1998,"Neuro-Oncol 2008, 10(2): 190",not approved for cancer indications,"not approved for cancer indications. At recommended anti-inflammatory dose (200 mg PO), Cmax= 705 ng/ml, Tmax= 2.8 h, T1/2= 11.2 h, Vss/F=429 L, Cl/F= 27.7 L/h",,,,,,,,,,,
29,776422,Ceritinib,Zykadia,kinase inhibitor (Tyrosine): ALK,558,750,mg,PO,,qd,1.208,1.21E-06,0.000674,674 ng/ml,5.0 h,41 h,"14,000 ng•hr/ml",53.9 L/h,4230 L,97%,,2014,FD NDA 205755: Clinical Pharmacology and Biopharmaceutics Review,"NSCLC: non-small cell lung cancer, ALK-positive metastatic NSCLC who have progressed on or are intolerant to crizotinib",approved 04.29.2014. PK results from multiple dose study.,,,,,,,,,,,
30,3088,Chlorambucil  ,Leukeran,Alkylating/DNA damage,304,0.2,mg/kg,PO,,qd,1.617,1.62E-06,0.000492,492 ng/ml,0.83 h,1.3 h,883 ng•hr/mL,,,99%,3.67916666666667E-005,1957,Drug Product Label,"Leukemia: chronic lymphatic (lymphocytic) leukemia, malignant lymphomas including lymphosarcoma, giant follicular lymphoma, and Hodgkin’s disease",,,,,,,,,,,,
31,187208,Chloroquine,Aralen,not defined,320,750,mg,PO,,,0.725,7.25290116046419E-007,0.000232,232 ng/ml,3.7 h,,8385 ng•hr/ml,,,55%,,1949,Eur J Clin Pharmacol (2009) 65:179–189,not approved for cancer indications,not approved for cancer indications; tissues accumulate 200-700 times the plasma level according to Drug Product Label.,,,,,,,,,,,
32,119875,Cisplatin,"Platinol, Platinol-AQ  ",Alkylating/DNA damage,300,80,mg/m2,IV, 1 h,,14.400,1.44E-05,0.004321,14.4 umol/L,,0.44 h,16.4 umol•h/L,,11-12 L/m2,n/a *,,1978,"J Clin Oncol 2002, 20(6): 1657","Testicular Tumors, Metastatic;  Metastatic Ovarian Tumors;  Advanced Bladder Cancer","Data are for intact cisplatin. * Cisplatin does not undergo the instantaneous and reversible binding to plasma proteins. However, the platinum from cisplatin, but not cisplatin itself, becomes bound to several plasma proteins, including albumin, transferrin, and gamma globulin. Three hours after a bolus injection and two hours after the end of a three-hour infusion, 90% of the plasma platinum is protein bound.",,,,,,,,,,,
33,105014,Cladribine,Leustatin,Nucleoside/Antimetab: Adenosine deaminase inhibitor,286,0.09,mg/kg,IV,24 h,continuous for 7 d,0.020,2.00E-08,0.0000057,5.7 ng/ml,,,,663.5 ml/h/kg,,21-25%,5.7 ng/ml,1993,Drug Product Label,Leukemia: Hairy Cell Leukemia,continuous infusion.  Reference for protein binding: Eur J Clin Pharmacol (1994) 46:563-564,,,,,,,,,,,
34,105014,Cladribine,Leustatin,Nucleoside/Antimetab: Adenosine deaminase inhibitor,286,0.12,mg/kg,IV,2 h,,0.168,1.68E-07,0.000048,48 ng/ml,,5.4 h,,978 mL/h/kg,4.5 L/kg,21-25%,,1993,Drug Product Label,Leukemia: Hairy Cell Leukemia,single dose (2 h infusion): Cmax at end of infusion,,,,,,,,,,,
35,606869,Clofarabine  ,"Clolar,  Clofarex",Nucleoside/Antimetab: Ribonucleoside-Diphosphate Reductase Inhibitor;  DNA Polymerase Inhibitor ,304,40,mg/m2,IV,2 h, X 5 d,0.744,7.44E-07,0.000226,226 ng/ml,,4.9 h,931 ng•hr/ml,1.6 L/h/kg,8.8 L/kg,47%,,2004,"J Clin Pharmacol 2011, 51(5): 679",Leukemia: Acute Lymphoblastic Leukemia:  pediatric patients 1 to 21 years old with relapsed or refractory ALL after at least two prior regimens,recommended pediatric dose is 52 mg/m2 IV 2 hr infusion.,,,,,,,,,,,
36,756645,Crizotinib  ,Xalkori ,"kinase inhibitor (Tyrosine): c-Met,  ALK, RON",450,250,mg,PO,,BID,0.913,9.13E-07,0.000411,411 ng/ml,4.0 h,34.9 h,3880 ng•hr/ml,64.5 L/h,4313 L,91%,,2011,FDA NDA 202570:  Clinical Pharmacology and Biopharmaceutic Review,NSCLC: non-small cell lung cancer (metastatic) whose tumors are ALK-positive,data from multiple dose day 15,,,,,,,,,,,
37,26271,Cyclophosphamide  ,"Cytoxan, Neosar   ",Alkylating/DNA damage,261,600,mg/m2,IV,bolus,,128.000,1.28E-04,,128 uM,,3-12 h,51955 umol•min/L,78 ml/min,,20%,,1959,"Cancer Chemother Pharmacol 1994, 33(6): 472","Lymphoma: Malignant lymphomas (Hodgkin’s disease, lymphocytic lymphoma (nodular or diffuse), mixed-cell type lymphoma, histiocytic lymphoma, Burkitt’s lymphoma);  Multiple myeloma;  Leukemias: Chronic lymphocytic leukemia, chronic granulocytic leukemia, acute myelogenous and monocytic leukemia, acute lymphoblastic (stem-cell) leukemia in children;  Mycosis fungoides (advanced disease);  Neuroblastoma (disseminated disease);  Adenocarcinoma of the ovary;  Retinoblastoma;  Carcinoma of the breast.",,,,,,,,,,,,
38,63878,Cytarabine,"Cytosar-U, Ara-C, Depocyt",Nucleoside/Antimetab: DNA Polymerase inhibitor,243,3000,mg/m2,IV,,,106.000,1.06E-04,,106 uM,,3.82 h,385 umol•h/L,,,13%,,1969,Cancer Res. 1989 Jan 1;49(1):241-7.,Leukemia: acute non-lymphocytic leukemia;  acute lymphocytic leukemia and the blast phase of chronic myelocytic leukemia;  meningeal leukemia, targeted Css with constant infusion is 20-35 uM,,,,,,,,,,,
39,764134,Dabrafenib,Tafinlar,"kinase inhibitor (Ser/Thr): BRAF V600E,K,D mutants",520,150,mg,PO,,BID,4.860,4.86E-06,0.002527,2527 ng/ml,2 h,4.8 h,10751 ng•hr/ml,14.0 L/hr,45.5 L,99.70%,,2013,Journal of Clinical Pharmacology 53(9) 955–961 (2013),"Melanoma:  BRAF V600E or V600K Mutation-Positive, Unresectable or Metastatic",approved 05.29.13 for BRAF V600E mutant melanoma,,,,,,,,,,,
40,45388,Dacarbazine  ,DTIC-Dome ,Alkylating/DNA damage,182,200,mg/m2,IV,30 min,,34.415,3.44E-05,0.00627,6.27 ug/ml,,5 h,4.86 mg•hr/L,91.4 L/h,,<5%,0.0002022917,1975,"Anti-Cancer Drugs 2004, 15(5): 495 and Drug Product Label",melanoma: malignant (metastatic); Hodgkin's disease,"enzymatically converted to MTIC via Cyp1A2, 2E1, 1A1",,,,,,,,,,,
41,3053,Dactinomycin,"Cosmegen, Litak, Movectro",DNA binding/RNA polymerase,1255,0.70- 1.50,mg/m2,IV,bolus,,0.020,2.00E-08,0.0000251,25.1 ng/ml,15 min,14-43 h,2.67 mg•min/L,68-203 ml/min/m2,,5%,7.41666666666667E-006,1964,Clin Cancer Res. 2005 Aug 15;11(16):5893-9.,"Wilms’ tumor, childhood rhabdomyosarcoma, Ewing’s sarcoma and metastatic, nonseminomatous testicular cancer,  gestational trophoblastic neoplasia;   locally recurrent or locoregional solid malignancies.",,,,,,,,,,,,
42,732517,Dasatinib  ,Sprycel ,kinase inhibitor (Tyrosine):  Multi-Kinases Including Bcr-Abl & Src,488,100,mg,PO,,qd,0.264,2.64E-07,0.000129,129 ng/ml,2.0 h,6.2 h,478 ng•hr/ml,,2505 L,96%,,2006,Clin Cancer Res. 2012;18:5489-98,"Leukemia: Chronic Myeloid Leukemia:  newly diagnosed Philadelphia chromosome-positive (Ph+) CML in chronic phase;  chronic, accelerated, or myeloid or lymphoid blast phase Ph+ CML with resistance or intolerance to prior therapy including imatinib;  Acute Lymphoblastic Leukemia (Ph+ ALL) with resistance or intolerance to prior therapy",,,,,,,,,,,,
43,82151,Daunorubicin HCl  ,"Cerubidine, Daunoxome ",Topo II /DNA binding,564,50,mg/m2,IV,1 h,,0.31000,3.10E-07,,0.31 umol/L,,11 h,1.02 umol•hr/L,0.21 umol/h,,97%,,1987,Ther Drug Monit 2007;29:626–631,"Leukemia: Acute Nonlymphocytic Leukemia (myelogenous, monocytic, erythroid) of adults ;  Acute Lymphocytic Leukemia of children and adults",data are for standard formulation; liposomal formulation yields 100X higher exposure,,,,,,,,,,,
44,127716,Decitabine  ,Dacogen ,Nucleoside/Antimetab: demethylating agent; DNA Methyltransferase (DNMT) Inhibitor,228,15,mg/m2,IV, 3 h,TID X3d,0.323,3.23E-07,0.0000738,73.8 ng/ml,2.49 h,0.62 h,163 ng•hr/ml,125 L/h.m2,71.8 L/m2,<1%,,2006,"Drug Product Label and Cancer Chemother Pharmacol 2008, 61(5): 759-766","Myelodysplastic Syndromes (MDS):  all French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia).",,,,,,,,,,,,
45,,Degarelix,Firmagon,LHRH antagonist,1632,240,mg,SC,,,0.016,1.61E-08,0.0000262,26.2 ng/mL,2 d,,1054 ng•day/ml,,,90%,,2008,Drug Product Label,prostate cancer,"Forms a depot upon subcutaneous administration, from which degarelix is released to the circulation.",,,,,,,,,,,
46,169780,Dexrazoxane HCl  ,"Totect, Zinecard  ",chelator,268,500,mg/m2,IV,15 min,,136.057,1.36E-04,0.0365,36.5 ug/ml,,2.5 h,,7.88 L/h/m2,22.4 L/m2,<2%,,1995,Drug Product Label; see also:  J Clin Pharmacol. 2011 May;51(5):731-8.  ,Breast Cancer:  reducing the incidence and severity of cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer who have received a cumulative doxorubicin dose of 300 mg/m2,Used as cardioprotectant in combination with doxorubicin,,,,,,,,,,,
47,628503,Docetaxel  ,Taxotere ,Tubulin: microtubule stabilizing,808,100,mg/m2,IV,1 h,,5.471,5.47E-06,0.00442,4.42 ug/ml,,41.0 h,5.9 ug•hr/ml,35 L/h,477 L,97%,,1996,"Clin Pharmacol Ther 2004, 75(5): 448",Breast Cancer;  Non-Small Cell Lung Cancer;  Prostate Cancer;  Gastric Adenocarcinoma;  Head and Neck Cancer,,,,,,,,,,,,
