revised 3 February 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,685403,Octreotide acetate,Sandostatin,Somatostatin Agonist ,1033,0.1,mg,SC,,,0.00384,3.84E-09,0.00000397,3.97 ng/ml,0.64 h,2.25 h,12.4 ng•hr/ml,7-10 L/h,13.6 L,65%,,1988,"J Clin Endocrinol Metab, 2012, 97(7):2362–2369; and Drug Product Label","Carcinoid Tumors,  Vasoactive Intestinal Peptide Tumors (VIPomas)",recommended dose is 50 ug SC twice or three times per day,,,,,,,,,,,
105,753686,Olaparib,Lynparza,PARP inhibitor,434,400,mg,PO,,BID,,,,,,11.9 h,,8.6 L/h,167 L,82%,,2014,Drug Product Label,Ovarian cancer: germline BRCA mutated,Approved 12.19.14,,,,,,,,,,,
106,758253,Omacetaxine mepesuccinate,Synribo,protein translation inhibitor:binds ribosomal A-site,546,1.25,mg/m2,SC,,BID X 14 d,0.04600,4.60E-08,0.0000251,25.1 ng/ml,0.55 h,7 h,136.2 ng•hr/ml,13.5 L/h/m2,127 L,50%,,2012,Cancer Chemother Pharmacol (2013) 71:35–41; and Drug Product Label,Leukemia: chronic myeloid leukemia (CML), approved  26 October 2012.  Cmax given for single dose; Cmax at steady state is 36.2 ng/ml. Mechanism:  protein translation inhibitor. It inhibits protein translation by preventing the initial elongation step of protein synthesis. It interacts with the ribosomal A-site and prevents the correct positioning of amino acid side chains of incoming aminoacyl-tRNAs. Omacetaxine acts only on the initial step of protein translation and does not inhibit protein synthesis from mRNAs that have already commenced translation.,,,,,,,,,,,
107,266046,Oxaliplatin  ,Eloxatin ,Alkylating/DNA damage,397,110,mg/m2,IV,2 h,,4.959,4.96E-06,0.00197,1.97 ug/ml,,1.86 h,4.99 ug•hr/ml,,,>90%,,2002,"Ann Oncol 2003, 14(12): 1776 ","colon cancer,  colorectal cancer","Oxaliplatin shows irreversible plasma protein binding of  90%, so values are reported as ultrafilterable platinum.  Drug Product Label recommends dose of 85 mg/m2, reporting Cmax= 0.814 ug/ml.",,,,,,,,,,,
108,,Palbociclib,Ibrance,,,,,,,,,,,,,,,,,,,2015,,,"Feb. 3, 2015",,,,,,,,,,,
109,125973,Paclitaxel  ,Taxol,Tubulin: microtubule stabilizing,854,175,mg/m2,IV,3 h,,4.275,4.27E-06,0.00365,3650 ng/ml,,20.2 h,15007 ng•hr/ml,12.2 L/hr/m2,227-688 L/m2,89-98%,,1992,"Drug Product Label; for comparison with nab-Paclitaxel formulation, see Clin Cancer Res 2008, 14(13): 4200","Ovarian cancer: breast cancer,  non-small cell lung cancer,  AIDS-related Kaposi’s sarcoma.",,,,,,,,,,,,
110,,nab- Paclitaxel,Abraxane,Tubulin: microtubule stabilizing,854,260,mg/m2,IV,30 min,,21.900,2.19E-05,0.01874,18741 ng/ml,,27 h,20324 ng•hr/ml,15 L/hr/m2,632 L/m2,89-98%,,2005,"Drug Product Label; AUC from Clin Cancer Res 2008, 14(13): 4200","Breast cancer (metastatic),  Non-Small Cell Lung Cancer,  Adenocarcinoma of the Pancreas",nanoparticle albumin-bound Paclitaxel.   09/09/2013:  Approved in combination with gemcitabine for the first-line treatment of patients with metastatic adenocarcinoma of the pancreas.,,,,,,,,,,,
111,737754,Pazopanib HCl  ,Votrient ,kinase inhibitor (Tyrosine):  VEGF,438,800,mg,PO,,,132.800,1.33E-04,0.0581,58.1 ug/ml,2-4 h,30.9 h,1037 ug•hr/ml,,,>99%,,2009,"Drug Product Label; see also Clin Pharmacol Ther. 2010, 88(6):818-23","renal cell carcinoma (RCC),  soft tissue sarcoma (STS)","significant food effects on bioavailability; food (high- or low-fat) increased Cmax, AUC and variability.",,,,,,,,,,,
112,755384,Pemetrexed,Alimta,Nucleoside/Antimetab: DHFR inhibitor,427,500,mg/m2,IV,10 min,,306.490,3.06E-04,0.131,131 ug/ml,,4.4 h,188 ug•hr/ml,93.2 ml/min,20.2 L,81%,,2004,"J Clin Oncol 2006, 24(4): 552","NSCLC: Nonsquamous Non-Small Cell Lung Cancer,  Mesothelioma",,,,,,,,,,,,
113,218321,Pentostatin,Nipent,Nucleoside/Antimetab: Adenosine deaminase inhibitor,268,4,mg/m2,IV,15 min,,1.823,1.82E-06,0.000489,489 ng/ml,,5.3 h,1232 ng•hr/ml,114 ml/min,20 L/m2,4%,,1991,"Cancer Chemother Pharmacol 2002, 50(2): 121-126.  ",Leukemia: hairy cell leukemia,"Calculated mean Cmax from Table 3 (N=6, normal renal function);  measured by Enzyme assay; alternate LC/UV method (abstract) reports 60 uM with 4 mg/m2 (Proc Am Soc Clin Oncol (ASCO) 2002, 21(Part 2): Abst 479)",,,,,,,,,,,
114,761388,Plerixafor,Mozobil,chemokine (CXCR4) antagonist,503,0.24,mg/kg,SC,,,1.842,1.84E-06,0.000926,926 ng/ml,0.5 h,5.1 h,4741 ng•hr/ml,4767 ml/h,33.7 L,58%,,2008,"Biol Blood Marrow Transplant 2009, 15:39-46, ",Lymphoma: non-Hodgkin’s lymphoma (NHL) and multiple myeloma (MM): to mobilize hematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients ,,,,,,,,,,,,
115,775351,Pomalidomide ,Pomalyst,TNF-alpha Production Inhibitor,273,4,mg,PO,,qd,0.274,2.74E-07,0.000075,75 ng/ml,2-3 h,9.5 h,400 ng•hr/ml,7-10 L/h,62-138 L,12-44%,,2013,Drug Product Label,Multiple Myeloma,Approved 02.08.13.  Black box warning for pregnancy.,,,,,,,,,,,
116,758487,Ponatinib,Iclusig,"kinase inhibitor (Tyrosine): BCR-Abl; VEGFR, FGFR, Flt3, Tie2",533,45,mg,PO,,qd,0.137,1.37E-07,0.000073,73 ng/ml,,24 h,1253 ng•hr/ml,,1223 L,>99%,,2012,Drug Product Label,"Leukemia: chronic myeloid leukemia (CML),  acute lymphoblastic leukemia (Ph+ALL) T315I-positive Philadelphia chromosome positive",Approved 12.14.12.   The Food and Drug Administration temporarily suspended sales of the drug in the U.S. on 31 October 2013 because of “the risk of life-threatening blood clots and severe narrowing of blood vessels”.,,,,,,,,,,,
117,603062,Porfimer sodium,Photofrin,photosensitizer,1179,2,mg/kg,IV,3-5 min,,33.917,3.39E-05,0.04,40 ug/ml,,415 h,2400 ug•hr/ml,0.051 ml/min/kg,,90%,,1995,Drug Product Label,"esophageal cancer,  endobronchial non-small-cell lung cancer (NSCLC),  ablation of high-grade dysplasia in Barrett’s esophagus",,,,,,,,,,,,
118,754230,Pralatrexate  ,Folotyn ,Nucleoside/Antimetab: DHFR inhibitor,477,40,mg/m2,IV,5 min,,10.262,1.03E-05,0.0049,4.9 ug/ml,,1.8 h,4.9 ug•hr/ml,417 ml/min (S) and 191 ml/min ®,105(S) and 37(R)  L,67%,,2009,"Cancer Chemother Pharmacol 2006, 57(5): 671",Lymphoma: peripheral T-cell lymphoma (PTCL). ,given with probenecid 70 mg/m2 IV.  Recommended dose is 30 mg/m2.  Drug is mixture of R and S diastereomers,,,,,,,,,,,
119,10023,Prednisone,"Deltasone, Orasone, Delta-dome, Cortan, Fernisone, Meticorten, Paracort, Prednicen-N, Rayos, Servisone",Glucocorticoid,358,50,mg,PO,,,0.145,1.45E-07,0.000052,52 ug/L,,,,,,extensive,,1974,"J Pharmacokinet Biopharm 1981, 9(1): 1","Leukemias and lymphomas in adults,  Acute leukemia of childhood",,,,,,,,,,,,
120,77213,Procarbazine HCl  ,Matulane ,Alkylating/DNA damage,221,300,mg,PO,,,3.127,3.13E-06,0.000692,0.692 ug/ml,0.21 h,0.154 h,0.217 ug•hr/ml,35.8 L/min,435 L,,,1969," Anti-Cancer Drugs 2006, 17(1): 75;  see also Clin Cancer Res 2006, 12(17): 5174",Lymphoma: Hodgkin's disease,,,,,,,,,,,,
121,14229,Quinacrine,Acrichine,NF-kappaB Activation Inhibitor; sPLA2 Inhibitor,400,100,mg,PO,,TID,0.300,3.00E-07,,300-1000 nM,,,,,,80-90%,,1932,Dement Geriatr Cogn Disord 2004;17:158–163,not approved for cancer indications,not approved for cancer indications; discontinued;   plasma levels of up to 2.5 micromolar were observed folloing 84 days of treatment at 300 mg/d;  long t1/2; pronounced tissue accumulation  ,,,,,,,,,,,
122,747974,Raloxifene HCl  ,"Evista, Keoxifene ",Estrogen Receptor agonist/antagonist; SERM,474,60,mg,PO,,,0.0011,1.06E-09,0.0000005,0.5 (ng/ml)/(mg/kg),,27.7 h,27.2 (ng•hr/ml)/(mg/kg),44.1 L/kg.hr,2348 L/kg,95%,,1997,"Drug Product Label; see also Breast Cancer Res Treat 2008, 111(2): 377, giving Cmax at 1.46 ng/ml",Breast Cancer:  Reduction in the Risk of Invasive Breast Cancer in Postmenopausal Women,"reported exposure normalized for dose (mg/kg), so exposure calculated for 60 kg patient (1 mg/kg)",,,,,,,,,,,
123,763932,Regorafenib,Stivarga,"kinase inhibitor (Tyrosine): RET/VEGFR/ TIE2, others",483,160,mg,PO,,qd,8.0775,8.08E-06,0.0039,3.9 ug/ml,4 h,28 h,58.3 ug•hr/ml,,,99.50%,,2012,Drug Product Label,"Colorectal Cancer,   Gastrointestinal Stromal Tumors","Approved 09.27.12.  Cmax given for steady state; single dose Cmax is 2.5 ug/ml; AUC 70.4 ug.hr/ml.  Main circulating metabolites of regorafenib measured at steady-state in human plasma are M-2 (N-oxide) and M-5 (N-oxide and N-desmethyl), both of them having similar in vitro pharmacological activity and steady-state concentrations as regorafenib.",,,,,,,,,,,
124,754143,Romidepsin  ,Istodax ,HDAC inhibitor,541,14,mg/m2,IV,4 h,,0.697,6.97E-07,0.000377,377 ng/ml,,3 h,1549 ng•hr/ml,11.6 L/h/m2,8.6 L/m2,92-94%,,2009,"Drug Product Label; see also Clin Cancer Res 2002, 8(3): 718","Lymphoma: cutaneous T-cell lymphoma (CTCL),  peripheral T-cell lymphoma (PTCL)",,,,,,,,,,,,
125,752295,Ruxolitinib,Jakafi,"kinase inhibitor (Tyrosine):  JAK1, JAK2",306,25,mg,PO,,BID,1.093,1.09E-06,,1093 nM,0.63 h,2.3 h,3200 nmol•hr/L,,,97%,,2011,"Drug Metab Dispos 2010, 38(11): 2023",myelofibrosis; polycythemia vera,Dose (5-25 mg BID) is based on platelet count,,,,,,,,,,,
126,744009,Sildenafil,Viagra,PDE-5  cGMP-phosphodiesterase inhibitor,475,100,mg,PO,,,0.794,7.94E-07,0.000377,377 ng/ml,1 h,2.76 h,1295 ng•hr/ml,,105 L,96%,,1998,"Br J Clin Pharmacol 2010,  69 (1): 23–26; see also Br J Clin Pharmacol 2002,  53: 45S-52S; hi dose 200 mg yielded 2.18 uM Cmax.",not approved for cancer indications;  pulmonary arterial hypertension,"not approved for cancer indications:  active metabolite N-desmethyl (via cyp3A4) shows 50% potency, 40% exposure of parent",,,,,,,,,,,
127,226080,Sirolimus (Rapamycin),Rapamune,FKBP-12: kinase inhibitor (Ser/Thr): mTOR,914,2,mg,PO,,,0.0164,1.64E-08,0.000015,15.0 ng/ml,3.5 h,62 h,230 ng•hr/ml,139 ml/hr/kg,12 L/kg,92%,,1999,"Drug Product Label; see also Br J Cancer 2010, 103(11): 1637",not approved for cancer indications; Prophylaxis of Organ Rejection in Renal Transplantation,"not approved for cancer indications: 3A4 substrate; PK strongly influenced by concurrent 3A4 inhibitors, e.g., cyclosporine",,,,,,,,,,,
128,747971,Sorafenib ,Nexavar ,kinase inhibitor (Tyrosine):  Multi-kinase,465,400,mg,PO,,BID,20.115,2.01E-05,0.00935,9.35 mg/L,2.5 h,23.8 h,107 mg•hr/L,,,99.5%,,2005,"J Clin Oncol 2005, 23(5): 965","Hepatocellular Carcinoma,  Renal Cell Carcinoma,  Differentiated Thyroid Carcinoma",Cmax  following multiple dosing,,,,,,,,,,,
129,85998,Streptozocin,Zanosar,Alkylating/DNA damage,265,1500,mg/m2,IV,push,,1438.046,1.44E-03,0.3814,381.4 ug/ml,,13 min,4329 ug•min/ml,478 ug/min,,,,1982,J Clin Pharmacol. 1977 Jul;17(7):379-88,Pancreatic cancer: metastatic islet cell carcinoma of the pancreas.,Maximum single dose is 1500 mg/m2,,,,,,,,,,,
130,750690,Sunitinib Malate  ,Sutent ,kinase inhibitor (Tyrosine):  Multi-kinase,398,50,mg,PO,,q.d. X 28 d,0.181,1.81E-07,0.0000722,72.2 ng/ml,8.5 h,41-86 h,1296 ng•hr/ml,46.4 L/h,2230 L,95%,,2006,"J Clin Oncol 2006, 24(1): 25","Gastrointestinal Stromal Tumor (GIST),  Advanced Renal Cell Carcinoma (RCC),  Advanced Pancreatic Neuroendocrine Tumors (pNET)",Cmax following day 28 of daily administration; first dose Cmax= 27.7 ng/ml,,,,,,,,,,,
131,717865,Tacrolimus,Prograf,FKBP-12; calcineurin inhibitor,804,5,mg,PO,,,0.037,3.69E-08,0.0000297,29.7 ng/ml,1.6 h,34.8 h,243 ng•hr/ml,0.041 L/hr/kg,1.94 L/kg,99%,,1994,Drug Product Label,"not approved for cancer indications;  Prophylaxis of Organ Rejection in Kidney,  Liver and Heart Transplant",not approved for cancer indications,,,,,,,,,,,
132,180973,Tamoxifen Citrate  ,Nolvadex ,Estrogen Receptor Antagonist,372,20,mg,PO,,,0.10767,1.08E-07,0.00004,40 ng/ml,5 h ,5-7 d,,,,>99%,122 ng/ml,1977,Drug Product Label,Breast Cancer (Metastatic);  Ductal Carcinoma in Situ (DCIS):,"see also: Clin Pharmacol Ther 1998, 64(6): 648 80 mg PO dose yields 145 ng/ml",,,,,,,,,,,
133,148958,Tegafur,Utefos,Nucleoside/Antimetab: Pyrimidine antagonist,200,50,mg/m2,PO,,q.d.,18.999,1.90E-05,0.003803,3083 ng/ml,1.0 h,7.88 h,26840 ng•hr/ml,,,,,1972,"Clinical Cancer Research 2002, 8, 2116–2122 ","Breast cancer, Carcinoma of bladder, Head and neck cancer, Liver carcinoma, Malignant tumor of digestive organ, Non-small cell lung cancer, Renal cell carcinoma
","5-FU prodrug; no current Drug Label available; has been used in Breast cancer, Carcinoma of bladder, Head and neck cancer, Liver carcinoma, Malignant tumor of digestive organ, Non-small cell lung cancer, Renal cell carcinoma",,,,,,,,,,,
134,362856,Temozolomide  ,Temodar ,Alkylating/DNA damage,194,150,mg/m2,IV,90 min,,37.600,3.76E-05,0.0073,7.3 ug/ml,1 h,1.8 h,24.6 ug•hr/mL,5.5 L/h/m2,0.4 L/kg,15%,,1999,Drug Product Label; see also Clin Cancer Res. 2004 Mar 1;10(5):1645-56.,"Glioblastoma Multiforme,  Refractory Anaplastic Astrocytoma",Active metabolite MTIC Cmax=276 ng/ml,,,,,,,,,,,
135,407347,* MTIC,(Temodar) ,Alkylating/DNA damage,168,as above,,,,,1.641,1.64E-06,0.000276,276 ng/ml,,,891 ng•hr/ml,,,,,-,Drug Product Label,,non-enzymatically formed from parent at neutral pH,,,,,,,,,,,
135,683864,Temsirolimus  ,Torisel ,FKBP-12; kinase inhibitor (Ser/Thr): mTOR,1030,25,mg,IV,30-60 min,,0.568,5.68E-07,0.000585,585 ng/ml,,17 h,1627 ng•h/mL,,,87%,,2007,Drug Product Label,renal cell carcinoma,Sirolimus is an active metabolite,,,,,,,,,,,
136,122819,Teniposide,Vumon,Topo II ,657,300-750,mg/m2,IV,72 h,,23.148,2.31E-05,0.0152,15.2 mg/L **,,,,,,>99%,15.2 mg/L,1992,"J Clin Oncol 5 (7), 1987: 1007-1014 ",Leukemia: childhood acute lymphoblastic leukemia.,** plasma steady state exposure in responders reported here;  high variability following brief injection; ,,,,,,,,,,,
137,17591,Testosterone enanthate,Delatestryl,Androgen Receptor Agonist,401,800,mg,PO,q.d.,,,,,,,,,,,,,1953,"J Androl 2008, 29(3): 260",Breast Cancer: Metastatic mammary cancer ,REVIEW THIS; LABEL IS FOR IM ADMIN>>prodrug;  exposure reported as testosterone,,,,,,,,,,,
138,,* Testosterone,(Delatestryl),Androgen Receptor Agonist,288,as above,,,,,0.316,3.16E-07,,316 nmol/L,1.3 h,6.9 h,906 nmol•hr/L,,,98%,,-,"J Androl 2008, 29(3): 260",,,,,,,,,,,,,
139,17591,Testosterone enanthate,Delatestryl,Androgen Receptor Agonist,,400,mg,IM,,q. 2-4 wk,,,,,,,,,,,,-,need PK and reference for this (recommended) dose/route,Breast Cancer: Metastatic mammary cancer ,,,,,,,,,,,,
140,66847,Thalidomide  ,Thalomid ,TNF-alpha Production Inhibitor ,258,200,mg,PO,,,8.907,8.91E-06,0.0023,2.30 ug/ml,5.8 h,4.12 h,23.3 ug•hr/ml,9.09 L/h,53 L,55% (+)-(R);  66% (-)-(S),0.94 ug/ml,1998/2006,Clin Pharmacol Ther. 1999 May;65(5):483-90.,Multiple Myeloma,,,,,,,,,,,,
141,752,Thioguanine,Tabloid,Nucleoside/Antimetab: purine antagonist,167,40,mg/m2,PO,,q.d. x 4 wk,0.313,3.13E-07,0.00005233,313 pmol/ml,1.5 h,,586 pmol•hr/L,,,,,1966,"Br J Clin Pharmacol 2001, 51(6): 531",Leukemia: Acute Nonlymphocytic Leukemias,"High variability; Rapidly converted to 6-thioguanylic acid (TGMP).There is technical difficulty in determining plasma concentrations of parent, which are seldom greater than 1 to 2 mcg/mL after a therapeutic oral dose. More significantly, thioguanine enters rapidly into the anabolic and catabolic pathways for purines, and the active intracellular metabolites have appreciably longer half-lives than the parent drug. ",,,,,,,,,,,
142,6396,Thiotepa,Thioplex,Alkylating/DNA damage,189,80,mg,IV,push,,9.660,9.66E-06,0.001828,1828 ng/ml,,2.3 h,4127 ng•hr/ml,419 ml/min,,10%,,1959,Drug Product Label; protein binding found in: Cancer Chemother Pharmacol. 1987;20(4):319-23.,"Breast Cancer:  Adenocarcinoma of the breast, ovary, papillary carcinoma of the urinary bladder.  For controlling intracavitary effusions secondary to diffuse or localized neoplastic diseases of various serosal cavities. ",Prodrug for TEPA,,,,,,,,,,,
143,9717,* TEPA,(Thioplex),Alkylating/DNA damage,173,as above,,,,,2.039,2.04E-06,0.000353,353 ng/ml,,15.7 h,7452 ng•hr/ml,,,,,1959,Drug Product Label,,metabolite of thioTEPA,,,,,,,,,,,
144,609699,Topotecan HCl  ,Hycamtin ,Topo I,421,2.3,mg/m2,PO,,,0.015,1.49E-08,0.0000063,6.3 ng/ml,,3.49 h,22.7 ng•hr/ml,,,35%,,1996,"Br J Cancer 1999, 80(9): 1380","Small Cell Lung Cancer, relapsed",Data are for topotecan lactone; rapid interconversion between lactone and carboxylate;  Cmax for total (L + C) is 10.2 ng/ml.,,,,,,,,,,,
145,613680,Toremifene  ,Fareston ,Estrogen Receptor Agonist,406,120,mg,PO,,,4.557,4.56E-06,0.00185,1.85 ug/ml,2.9 h,56.5 h,115.1 ug•hr/ml,3.31 L/h,,>99.5%,,1997,Breast Cancer (2009) 16:113–120,Breast Cancer:  metastatic,Dose recommended in label is 60 mg PO,,,,,,,,,,,
146,758246,Trametinib,Mekinist,"kinase inhibitor (Tyrosine/Threonine): MEK1, 2 inhibitor",615,2,mg,PO,,qd,0.021,2.11E-08,0.000013,13.0 ng/ml,2.0 h,3.9-4.8 h,69.7 ng•hr/ml,4.9 L/h,214 L,97.40%,,2013,"Eu J Cancer 2013, 49:2077-2085","melanoma, unresectable or metastatic with BRAF V600E or V600K mutations",approved 05.29.13,,,,,,,,,,,
147,122758,Tretinoin,"Avita, Renova, Atralin, Retin-A, Vesanoid",RAR nuclear receptors,300,45,mg/m2,PO,,,1.155,1.15E-06,0.000347,347 ng/ml,2.2 h,,682 ng•hr/ml,,,>95%,,1995,"Cancer Res 1992, 52(8): 2138; and Drug Product Label",Leukemia: acute promyelocytic leukemia,rapid induction of metabolism reduces Cmax on repeated dosing,,,,,,,,,,,
148,724666,Triptorelin pamoate,Trelstar Depot,LHRH agonist,1311,22.5,mg,IM,,q. 24 wk,0.034,3.36E-08,0.0000441,44.1 ng/ml,1-3 h,,,,30-33 L,0%,,2000,Drug Product Label,"prostate cancer, advanced",,,,,,,,,,,,
149,246131,Valrubicin,Valstar,Topo II,724,800,mg,I Cisternal,,q. wk,0.011,1.11E-08,0.000008,plasma: 8 ng/ml  Bladder: 5-13 uM),2-6 h,,78 nmol•hr/L,,,>99%,,1998,Drugs & Aging 1999 Jul; 15 (1): 69-75,urinary bladder: intravesical therapy of BCG-refractory carcinoma in situ (CIS) of the urinary bladder ,note local delivery intravesicular (bladder); systemic exposure is very low,,,,,,,,,,,
150,760766,vandetanib,Vandetanib,"kinase inhibitor (Tyrosine):  VEGFR, EGFR, RET",475,300,mg,PO,,,2.156,2.16E-06,0.001025,1025 ng/ml,5 h,19 d,20460 ng•hr/ml,13.2 L/h,7450 L,90%,,2011,"Ann Oncol 2009, 20(3): 486; and Drug Product Label",Medullary Thyroid Cancer,,,,,,,,,,,,
151,761431,Vemurafenib  ,Zelboraf ,kinase inhibitor (Tyrosine):  B-Raf ,490,960,mg,PO,,BID,126.551,1.27E-04,0.062,62 ug/ml,3 h,57 h,601 ug•hr/ml,31 L/d,106 L,>99%,,2011,Drug Product Label; see also N Engl J Med. 2010; 363:809-19.,"melanoma, metastatic with BRAF V600E mutation ",,,,,,,,,,,,
152,49842,Vinblastine Sulfate  ,"Velban, Velsar ",Tubulin: microtubule destabilizing,811,1**,mg/m2,IV,,,0.035,3.45E-08,0.000028,28 ug/L **,0.12 h,26.2 h,45 ug•hr/L,0.8 L/h/kg,,98-99%,,1965,"J Pediatr Hematol/Oncol 2006, 28(11): 720","Lymphoma: Generalized Hodgkin’s disease, Lymphocytic lymphoma, Histiocytic lymphoma, Mycosis fungoides, Advanced carcinoma of the testis, Kaposi’s sarcoma, Letterer-Siwe disease (histiocytosis X), Choriocarcinoma resistant to other chemotherapeutic agents, Carcinoma of the breast","Pediatric.  **Low dose: label suggests 3.7-11.1 mg/m2, so this is likely to be a very low estimate of clinically achievable Cmax. ",,,,,,,,,,,
153,67574,Vincristine Sulfate  ,Vincasar PFS ,Tubulin: microtubule destabilizing,825,1,mg/m2,IV,bolus,,0.007,6.52E-09,,6.52 nM,,,,,,75%,,1963,"Cancer Res 1981;41:3551-3555; see liposomal formulations;  J Clin Pharmacol 2006, 46(7): 727; see also Cancer Chemother Pharmacol. 1998;41(5):347-52","Leukemia: acute leukemia;  in combination with other oncolytic agents in Hodgkin’s disease, non-Hodgkin’s malignant lymphomas, rhabdomyosarcoma, neuroblastoma, and Wilms’ tumor.",Label suggests 1.5-2 mg/m2 as usual dose,,,,,,,,,,,
154,608210,Vinorelbine Tartrate,Navelbine,Tubulin: microtubule destabilizing,779,25,mg/m2,IV,20 min,,0.811,8.11E-07,0.0006319,631.9 ng/ml,,21.4 h,584.8 ng•hr/mL,78 L/h,,89%,,1994,"Cancer Chemother Pharmacol 2007, 59(3): 407",NSCLC: non small cell lung cancer ,Label recommends up to 30 mg/m2.  Vinorelbine demonstrated high binding to human platelets and lymphocytes; binding to plasma constituents in cancer patients ranged from 79.6% to 91.2%. ,,,,,,,,,,,
155,755986,Vismodegib,Erivedge,Smoothened receptor antagonist/ Hedge Hog inhibitor,421,150,mg,PO,,q.d.,33.900,3.39E-05,,33.9 umol/L,,4 d,5240 umol•hr/L,,,>99%,,2012,"Clin Cancer Res 2011, 17(17): 5774","basal cell carcinoma, metastatic",approved 1/30/12; PK data following 50-57 days of dosing,,,,,,,,,,,
156,701852,Vorinostat  ,Zolinza ,HDAC inhibitor,264,400,mg,PO,,q.d.,1.200,1.20E-06,,1.2 uM,1.5 h,2 h,4.2 umol•hr/L,3945 ml/min,885 L,71%,1.2 uM,2006,"Drug Product Label; also J Clin Oncol. 2005, 23(17): 3923-31",Lymphoma: cutaneous T-cell lymphoma ,"Absorption (AUC) increased approx. 33% by high-fat meal.  I.V. exposure can be 4-15X higher ( 3-10 ug/ml ) see Clin Cancer Res 2003, 9(10): 3578",,,,,,,,,,,
157,606170,Zalcitabine (Dideoxycytidine),Hivid,Nucleoside/Antimetab: Pyrimidine antagonist; reverse transcriptase inhibitor,211,1.5,mg,PO,,,0.119,1.19E-07,0.0000252,25.2 ng/ml,0.8 h,,72 ng•hr/ml,,0.534 L/kg,<4%,,1992,Drug Product Label,not approved for cancer indications;  HIV,not approved for cancer indications;  approved for HIV treatment; discontinued 2006; PK from dose recommended for HIV treatment,,,,,,,,,,,
158,721517,Zoledronic Acid  ,Zometa ,Farnesyl Pyrophosphate Synthase Inhibitor,272,4,mg,IV,15 min,,0.971,9.71E-07,0.000264,264 ng/ml,,146 h,420 ng•hr/ml,,,33-40%,,2001,"J Clin Pharmacol 2002, 42(11): 1228",hypercalcemia of malignancy; multiple myeloma;  documented bone metastases from solid tumors,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
could not find reliable data for the following agents; some are discontinued ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9706,Triethylenemelamine,,Alkylating/DNA damage,204,,,,,,,,,,,,,,,,,,,,not in FDA Orange Book,,,,,,,,,,,
,25154,Pipobroman,Vercyte,Alkylating/DNA damage,356,,,,,,,,,,,,,,,,,,,,discontinued,,,,,,,,,,,
,34462,Uracil mustard,Uramustine,Alkylating/DNA damage,252,,,,,,,,,,,,,,,,,,,,discontinued,,,,,,,,,,,
,9701,Methyltestosterone,"Testred, Android",Androgen Receptor Agonist/ Aromatase Inhibitor,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249008,Trimetrexate,Neutrexin,Nucleoside/Antimetab: DHFR inhibitor,369,,,,,,,,,,,,,,,,,,,,discontinued:  must be administered with leucovorin,,,,,,,,,,,
,24559,Plicamycin,"Mithracin, Mithramycin A",Topo /DNA binding,1085,,,,,,,,,,,,,,,,,,,,discontinued,,,,,,,,,,,
